X,Y,b1_est,b1_pv,b2_est,b2_pv,X_clean,Y_clean,name.x,phylum.x,name.y,phylum.y,source,b1_pv_FDR,b2_pv_FDR
s42,s19,-0.01012197,0.718809207,0.004126195,0.888599144,s42,s19,s__Clostridium_sp_AM49_4BH,Firmicutes,s__Alistipes_putredinis,Bacteroidetes,species,0.803374996,0.990080523
s50,s88,-0.060735775,0.066911871,-0.004005774,0.898322082,s50,s88,s__Clostridium_fessum,Firmicutes,s__Parabacteroides_merdae,Bacteroidetes,species,0.140210901,0.990080523
s175,s90,-0.026363181,0.425256821,-0.003705921,0.911795447,s175,s90,s__Phocaeicola_vulgatus,Bacteroidetes,s__Bilophila_wadsworthia,Proteobacteria,species,0.54383805,0.990080523
s68,s234,0.033387304,0.21307693,-0.003264693,0.917935668,s68,s234,s__Romboutsia_timonensis,Firmicutes,s__GGB9602_SGB15031,Firmicutes,species,0.333402726,0.990080523
s323,s234,-0.038970397,0.109735872,0.003157015,0.919933347,s323,s234,s__Roseburia_intestinalis,Firmicutes,s__GGB9602_SGB15031,Firmicutes,species,0.208498157,0.990080523
s68,s19,0.136799607,1.10E-05,0.002887662,0.925663232,s68,s19,s__Romboutsia_timonensis,Firmicutes,s__Alistipes_putredinis,Bacteroidetes,species,0.000112088,0.990080523
s106,s12,-0.002268895,0.929425803,-0.002637176,0.930380615,s106,s12,s__Actinomyces_sp_ICM58,Actinobacteria,s__Blautia_massiliensis,Firmicutes,species,0.950874091,0.990080523
s323,s75,0.087215204,0.002119561,-0.002560077,0.931506393,s323,s75,s__Roseburia_intestinalis,Firmicutes,s__Dysosmobacter_welbionis,Firmicutes,species,0.009720746,0.990080523
s68,s69,0.142258221,4.15E-06,0.002398405,0.937971022,s68,s69,s__Romboutsia_timonensis,Firmicutes,s__Alistipes_shahii,Bacteroidetes,species,6.91E-05,0.990080523
s323,s83,-0.067431996,0.016359884,0.001505902,0.960019447,s323,s83,s__Roseburia_intestinalis,Firmicutes,s__Odoribacter_splanchnicus,Bacteroidetes,species,0.048352545,0.998502488
s68,s35,0.212206875,2.44E-13,-0.001107626,0.970683535,s68,s35,s__Romboutsia_timonensis,Firmicutes,s__Oscillibacter_sp_ER4,Firmicutes,species,3.25E-11,0.998502488
s42,s83,-0.019059035,0.507442252,0.001067571,0.971495256,s42,s83,s__Clostridium_sp_AM49_4BH,Firmicutes,s__Odoribacter_splanchnicus,Bacteroidetes,species,0.624905736,0.998502488
s50,s35,-0.218578011,8.48E-12,-0.000633765,0.984419586,s50,s35,s__Clostridium_fessum,Firmicutes,s__Oscillibacter_sp_ER4,Firmicutes,species,5.64E-10,0.998502488
s152,s51,0.032848278,0.289804389,0.000414618,0.989389852,s152,s51,s__Clostridium_sp_AM22_11AC,Firmicutes,s__Lachnospiraceae_bacterium_NSJ_29,Firmicutes,species,0.414451437,0.998502488
s106,s55,-0.041875716,0.145144586,-0.000148703,0.996101905,s106,s55,s__Actinomyces_sp_ICM58,Actinobacteria,s__Faecalibacillus_intestinalis,Firmicutes,species,0.260867972,0.998502488
s175,s76,-0.187386519,3.37E-07,6.58E-05,0.998502488,s175,s76,s__Phocaeicola_vulgatus,Bacteroidetes,s__Bacteroides_caccae,Bacteroidetes,species,7.46E-06,0.998502488
tax_g17,tax_g4,0.033496755,0.246591763,0.099500409,0.0007174,g17,g4,genus_g__Butyricicoccus,Firmicutes,genus_g__Blautia,Firmicutes,genus,0.367020299,0.013209359
tax_g68,tax_g57,-0.198868418,2.81E-08,0.109194723,0.003197154,g68,g57,genus_g__Phocaeicola,Bacteroidetes,genus_g__Odoribacter,Bacteroidetes,genus,3.60E-07,0.035152993
tax_g17,tax_g40,0.002104617,0.942052658,0.088730298,0.003295593,g17,g40,genus_g__Butyricicoccus,Firmicutes,genus_g__Faecalibacillus,Firmicutes,genus,0.979019128,0.035152993
tax_g68,tax_g15,-0.069577046,0.034834794,0.096350481,0.004068696,g68,g15,genus_g__Phocaeicola,Bacteroidetes,genus_g__Alistipes,Bacteroidetes,genus,0.089177072,0.037199504
tax_g25,tax_g46,0.049072553,0.155805514,0.088411582,0.007493414,g25,g46,genus_g__Clostridium,Firmicutes,genus_g__Dysosmobacter,Firmicutes,genus,0.262409288,0.05994731
tax_g68,tax_g32,-0.132361177,0.000830718,0.09561829,0.014366383,g68,g32,genus_g__Phocaeicola,Bacteroidetes,genus_g__Bacteroides,Bacteroidetes,genus,0.003544399,0.102071752
