X,Y,b1_est,b1_pv,b2_est,b2_pv,X_clean,Y_clean,name.x,phylum.x,name.y,phylum.y,source,b1_pv_FDR,b2_pv_FDR
bac_g114,bac_g192,-0.040471328,0.074742618,-0.07643854,0.000508059,g114,g192,16S_g__Lachnoclostridium,Firmicutes,16S_g__DTU089,Firmicutes,16S,0.134536712,0.002286267
bac_g183,bac_g207,-0.003995577,0.845691236,-0.077464862,0.00054712,g183,g207,16S_g__Burkholderia-Caballeronia-Paraburkholderia,Proteobacteria,16S_g__UCG-003,Firmicutes,16S,0.885025712,0.002344798
bac_g114,bac_g93,-0.009547978,0.673477296,0.078742753,0.000647364,g114,g93,16S_g__Lachnoclostridium,Firmicutes,16S_g__Veillonella,Firmicutes,16S,0.787181255,0.002648306
bac_g68,bac_g109,0.054621856,0.011898742,0.071616759,0.000907824,g68,g109,16S_g__[Eubacterium]_siraeum_group,Firmicutes,16S_g__Odoribacter,Bacteroidota,16S,0.038245956,0.003552356
bac_g114,bac_g37,-0.062320019,0.005258697,-0.072115062,0.001005152,g114,g37,16S_g__Lachnoclostridium,Firmicutes,16S_g__Alistipes,Bacteroidota,16S,0.02205383,0.003769321
bac_g183,bac_g17,-0.015698457,0.393346835,-0.072365377,0.001294934,g183,g17,16S_g__Burkholderia-Caballeronia-Paraburkholderia,Proteobacteria,16S_g__UCG-005,Firmicutes,16S,0.528376346,0.004661761
bac_g183,bac_g108,-0.058640633,0.004525264,-0.070781397,0.001634306,g183,g108,16S_g__Burkholderia-Caballeronia-Paraburkholderia,Proteobacteria,16S_g__Incertae_Sedis,Firmicutes,16S,0.020363688,0.005657214
bac_g68,bac_g179,0.044706491,0.026257107,0.067066926,0.00177885,g68,g179,16S_g__[Eubacterium]_siraeum_group,Firmicutes,16S_g__Marvinbryantia,Firmicutes,16S,0.063868637,0.005929501
bac_g183,bac_g109,-0.021582296,0.282502742,-0.068650298,0.002134424,g183,g109,16S_g__Burkholderia-Caballeronia-Paraburkholderia,Proteobacteria,16S_g__Odoribacter,Bacteroidota,16S,0.410084626,0.006860648
bac_g68,bac_g115,-0.010377186,0.641102542,0.068027214,0.002253542,g68,g115,16S_g__[Eubacterium]_siraeum_group,Firmicutes,16S_g__Family_XIII_UCG-001,Firmicutes,16S,0.76932305,0.006993752
bac_g114,bac_g175,-0.068832113,0.001645196,-0.064780464,0.003603381,g114,g175,16S_g__Lachnoclostridium,Firmicutes,16S_g__Gordonibacter,Actinobacteriota,16S,0.00900406,0.010810144
bac_g183,bac_g170,-0.007825655,0.707770374,-0.065633698,0.004353937,g183,g170,16S_g__Burkholderia-Caballeronia-Paraburkholderia,Proteobacteria,16S_g__Lachnospiraceae_UCG-010,Firmicutes,16S,0.806320679,0.012640463
bac_g114,bac_g180,-0.09186953,1.36E-05,-0.059918441,0.006230675,g114,g180,16S_g__Lachnoclostridium,Firmicutes,16S_g__[Eubacterium]_brachy_group,Firmicutes,16S,0.000243933,0.017523773
bac_g114,bac_g109,-0.068447948,0.002113375,-0.059365564,0.006951648,g114,g109,16S_g__Lachnoclostridium,Firmicutes,16S_g__Odoribacter,Bacteroidota,16S,0.010566875,0.018925605
bac_g68,bac_g74,-0.024249465,0.267354243,-0.056100833,0.007149673,g68,g74,16S_g__[Eubacterium]_siraeum_group,Firmicutes,16S_g__Butyricicoccus,Firmicutes,16S,0.401031364,0.018925605
bac_g68,bac_g22,0.043516982,0.029385432,0.057635114,0.007656343,g68,g22,16S_g__[Eubacterium]_siraeum_group,Firmicutes,16S_g__Muribaculaceae,Bacteroidota,16S,0.067812536,0.019687738
bac_g114,bac_g108,-0.089025185,0.000100332,-0.058265738,0.008357272,g114,g108,16S_g__Lachnoclostridium,Firmicutes,16S_g__Incertae_Sedis,Firmicutes,16S,0.001289981,0.02089318
bac_g183,bac_g72,-0.004224082,0.809355413,-0.05903161,0.008592919,g183,g72,16S_g__Burkholderia-Caballeronia-Paraburkholderia,Proteobacteria,16S_g__Barnesiella,Bacteroidota,16S,0.868266572,0.020901695
bac_g183,bac_g2,0.039755214,0.047522178,0.056591953,0.010756877,g183,g2,16S_g__Burkholderia-Caballeronia-Paraburkholderia,Proteobacteria,16S_g__Anaerostipes,Firmicutes,16S,0.097204455,0.025476813
bac_g183,bac_g74,-0.050205108,0.015038771,0.054382115,0.013857385,g183,g74,16S_g__Burkholderia-Caballeronia-Paraburkholderia,Proteobacteria,16S_g__Butyricicoccus,Firmicutes,16S,0.039956417,0.031978582
bac_g114,bac_g22,-0.051645023,0.012620478,-0.054420947,0.014368786,g114,g22,16S_g__Lachnoclostridium,Firmicutes,16S_g__Muribaculaceae,Bacteroidota,16S,0.039166999,0.032329769
bac_g183,bac_g116,0.03600027,0.078031274,-0.049408553,0.027362046,g183,g116,16S_g__Burkholderia-Caballeronia-Paraburkholderia,Proteobacteria,16S_g__Parabacteroides,Bacteroidota,16S,0.137702248,0.060063029
bac_g183,bac_g112,-0.07589879,0.000199761,-0.048968332,0.03111876,g183,g112,16S_g__Burkholderia-Caballeronia-Paraburkholderia,Proteobacteria,16S_g__Akkermansia,Verrucomicrobiota,16S,0.001997608,0.066483669
bac_g114,bac_g170,-0.06088769,0.008819733,-0.048813367,0.03176442,g114,g170,16S_g__Lachnoclostridium,Firmicutes,16S_g__Lachnospiraceae_UCG-010,Firmicutes,16S,0.03175104,0.066483669
bac_g68,bac_g129,-0.004957948,0.812024229,0.043634433,0.04070926,g68,g129,16S_g__[Eubacterium]_siraeum_group,Firmicutes,16S_g__Colidextribacter,Firmicutes,16S,0.868266572,0.083268941
bac_g114,bac_g34,0.033657603,0.148523978,0.044123646,0.04500932,g114,g34,16S_g__Lachnoclostridium,Firmicutes,16S_g__Bacteroides,Bacteroidota,16S,0.23869925,0.090018639
bac_g183,bac_g341,-0.034156981,0.09257138,0.043333112,0.050896878,g183,g341,16S_g__Burkholderia-Caballeronia-Paraburkholderia,Proteobacteria,16S_g__UBA1819,Firmicutes,16S,0.157196683,0.099580848
bac_g114,bac_g116,-0.048544227,0.032224038,-0.041513743,0.05927348,g114,g116,16S_g__Lachnoclostridium,Firmicutes,16S_g__Parabacteroides,Bacteroidota,16S,0.070735692,0.111304788
bac_g68,bac_g207,-0.000962208,0.965728633,0.041150329,0.05985385,g68,g207,16S_g__[Eubacterium]_siraeum_group,Firmicutes,16S_g__UCG-003,Firmicutes,16S,0.965728633,0.111304788
bac_g68,bac_g2,-0.023067485,0.275934158,-0.039217136,0.060599274,g68,g2,16S_g__[Eubacterium]_siraeum_group,Firmicutes,16S_g__Anaerostipes,Firmicutes,16S,0.407115971,0.111304788
bac_g183,bac_g129,-0.027095963,0.169295571,-0.040302469,0.074720665,g183,g129,16S_g__Burkholderia-Caballeronia-Paraburkholderia,Proteobacteria,16S_g__Colidextribacter,Firmicutes,16S,0.262700024,0.134497198
bac_g183,bac_g143,-0.005501827,0.756331551,-0.039257268,0.080197458,g183,g143,16S_g__Burkholderia-Caballeronia-Paraburkholderia,Proteobacteria,16S_g__UCG-010,Firmicutes,16S,0.830119995,0.141524926
bac_g114,bac_g115,-0.117066185,1.94E-07,-0.034975974,0.120151815,g114,g115,16S_g__Lachnoclostridium,Firmicutes,16S_g__Family_XIII_UCG-001,Firmicutes,16S,8.73E-06,0.207955064
bac_g68,bac_g218,-0.0396541,0.066715318,-0.031930395,0.126137932,g68,g218,16S_g__[Eubacterium]_siraeum_group,Firmicutes,16S_g__Oscillibacter,Firmicutes,16S,0.122538339,0.214196489
bac_g114,bac_g122,-0.010513821,0.652222305,-0.033506813,0.134400804,g114,g122,16S_g__Lachnoclostridium,Firmicutes,16S_g__Bilophila,Desulfobacterota,16S,0.772368519,0.22400134
bac_g183,bac_g39,-0.052889452,0.005635979,-0.033482571,0.137307172,g183,g39,16S_g__Burkholderia-Caballeronia-Paraburkholderia,Proteobacteria,16S_g__Family_XIII_AD3011_group,Firmicutes,16S,0.02205383,0.224684463
bac_g114,bac_g112,-0.056999425,0.011025097,0.030363223,0.169018149,g114,g112,16S_g__Lachnoclostridium,Firmicutes,16S_g__Akkermansia,Verrucomicrobiota,16S,0.036750323,0.27163631
bac_g68,bac_g93,-0.025441449,0.227113014,-0.028947372,0.182509605,g68,g93,16S_g__[Eubacterium]_siraeum_group,Firmicutes,16S_g__Veillonella,Firmicutes,16S,0.346443581,0.288173061
bac_g183,bac_g37,-0.013896185,0.488751391,-0.02670285,0.230953715,g183,g37,16S_g__Burkholderia-Caballeronia-Paraburkholderia,Proteobacteria,16S_g__Alistipes,Bacteroidota,16S,0.637501815,0.358376455
bac_g183,bac_g69,-0.067124002,0.000146722,-0.025135533,0.258910388,g183,g69,16S_g__Burkholderia-Caballeronia-Paraburkholderia,Proteobacteria,16S_g__Collinsella,Actinobacteriota,16S,0.001650625,0.394948049
bac_g183,bac_g192,-0.020757483,0.310406516,-0.024862988,0.267701499,g183,g192,16S_g__Burkholderia-Caballeronia-Paraburkholderia,Proteobacteria,16S_g__DTU089,Firmicutes,16S,0.44343788,0.396981179
bac_g114,bac_g341,0.055325734,0.015094646,-0.024377172,0.269065021,g114,g341,16S_g__Lachnoclostridium,Firmicutes,16S_g__UBA1819,Firmicutes,16S,0.039956417,0.396981179
bac_g68,bac_g69,0.038074799,0.041633828,0.020716887,0.321636297,g68,g69,16S_g__[Eubacterium]_siraeum_group,Firmicutes,16S_g__Collinsella,Actinobacteriota,16S,0.087140569,0.459692303
bac_g68,bac_g108,0.056740504,0.009269246,0.021039026,0.321784612,g68,g108,16S_g__[Eubacterium]_siraeum_group,Firmicutes,16S_g__Incertae_Sedis,Firmicutes,16S,0.032085853,0.459692303
bac_g68,bac_g37,0.046102616,0.033204237,0.020718246,0.33475846,g68,g37,16S_g__[Eubacterium]_siraeum_group,Firmicutes,16S_g__Alistipes,Bacteroidota,16S,0.071151936,0.470754084
bac_g114,bac_g72,-0.047624003,0.014629557,-0.020658821,0.351884635,g114,g72,16S_g__Lachnoclostridium,Firmicutes,16S_g__Barnesiella,Bacteroidota,16S,0.039956417,0.487224879
bac_g183,bac_g22,-0.002417925,0.896612222,-0.020535774,0.363334435,g183,g22,16S_g__Burkholderia-Caballeronia-Paraburkholderia,Proteobacteria,16S_g__Muribaculaceae,Bacteroidota,16S,0.926899562,0.495456048
bac_g183,bac_g95,-0.006388142,0.755733601,0.019651365,0.383287679,g183,g95,16S_g__Burkholderia-Caballeronia-Paraburkholderia,Proteobacteria,16S_g__Haemophilus,Proteobacteria,16S,0.830119995,0.514864046
bac_g183,bac_g175,-0.064414327,0.001054549,0.019064483,0.400203417,g183,g175,16S_g__Burkholderia-Caballeronia-Paraburkholderia,Proteobacteria,16S_g__Gordonibacter,Actinobacteriota,16S,0.007826389,0.529680993
bac_g114,bac_g95,-0.04898386,0.031761461,0.017776462,0.423243287,g114,g95,16S_g__Lachnoclostridium,Firmicutes,16S_g__Haemophilus,Proteobacteria,16S,0.070735692,0.552056462
bac_g114,bac_g74,0.013014512,0.577597837,-0.015453869,0.484927821,g114,g74,16S_g__Lachnoclostridium,Firmicutes,16S_g__Butyricicoccus,Firmicutes,16S,0.702483856,0.615178405
bac_g68,bac_g175,0.066438621,0.001336916,0.014636627,0.491928312,g68,g175,16S_g__[Eubacterium]_siraeum_group,Firmicutes,16S_g__Gordonibacter,Actinobacteriota,16S,0.008594457,0.615178405
bac_g68,bac_g116,0.012183203,0.575189833,0.014621218,0.492142724,g68,g116,16S_g__[Eubacterium]_siraeum_group,Firmicutes,16S_g__Parabacteroides,Bacteroidota,16S,0.702483856,0.615178405
bac_g114,bac_g218,-0.013653649,0.557180623,-0.013540379,0.542958966,g114,g218,16S_g__Lachnoclostridium,Firmicutes,16S_g__Oscillibacter,Firmicutes,16S,0.696475779,0.669401465
bac_g183,bac_g155,-0.038855438,0.063024605,-0.014095149,0.561237623,g183,g155,16S_g__Burkholderia-Caballeronia-Paraburkholderia,Proteobacteria,16S_g__Chloroplast,Cyanobacteria,16S,0.118171134,0.677604087
bac_g68,bac_g112,0.051930202,0.014703873,0.012171915,0.564670072,g68,g112,16S_g__[Eubacterium]_siraeum_group,Firmicutes,16S_g__Akkermansia,Verrucomicrobiota,16S,0.039956417,0.677604087
bac_g114,bac_g155,-0.052731945,0.02276277,0.012896236,0.58847819,g114,g155,16S_g__Lachnoclostridium,Firmicutes,16S_g__Chloroplast,Cyanobacteria,16S,0.056906926,0.696882067
bac_g183,bac_g34,0.051180976,0.01308322,-0.0111863,0.612209015,g183,g34,16S_g__Burkholderia-Caballeronia-Paraburkholderia,Proteobacteria,16S_g__Bacteroides,Bacteroidota,16S,0.039249661,0.715568979
bac_g183,bac_g93,0.001289858,0.948398587,0.011402495,0.620271066,g183,g93,16S_g__Burkholderia-Caballeronia-Paraburkholderia,Proteobacteria,16S_g__Veillonella,Firmicutes,16S,0.959054751,0.715697384
bac_g68,bac_g95,-0.020563617,0.341313607,-0.009941364,0.638969138,g68,g95,16S_g__[Eubacterium]_siraeum_group,Firmicutes,16S_g__Haemophilus,Proteobacteria,16S,0.467882144,0.721840583
bac_g183,bac_g115,-0.039359894,0.054613175,-0.010713641,0.641636074,g183,g115,16S_g__Burkholderia-Caballeronia-Paraburkholderia,Proteobacteria,16S_g__Family_XIII_UCG-001,Firmicutes,16S,0.104793163,0.721840583
bac_g68,bac_g180,0.008142928,0.685571216,0.009504829,0.650297734,g68,g180,16S_g__[Eubacterium]_siraeum_group,Firmicutes,16S_g__[Eubacterium]_brachy_group,Firmicutes,16S,0.79104371,0.722553038
bac_g183,bac_g218,-0.016681902,0.416865763,-0.00878366,0.692529262,g183,g218,16S_g__Burkholderia-Caballeronia-Paraburkholderia,Proteobacteria,16S_g__Oscillibacter,Firmicutes,16S,0.551734098,0.760093093
bac_g68,bac_g170,0.06719666,0.002398071,-0.006816517,0.75575335,g68,g170,16S_g__[Eubacterium]_siraeum_group,Firmicutes,16S_g__Lachnospiraceae_UCG-010,Firmicutes,16S,0.011359282,0.819491585
bac_g68,bac_g122,-0.020733569,0.343113572,0.006180939,0.770543909,g68,g122,16S_g__[Eubacterium]_siraeum_group,Firmicutes,16S_g__Bilophila,Desulfobacterota,16S,0.467882144,0.82558276
bac_g68,bac_g34,0.00496774,0.82002954,-0.004984039,0.810849691,g68,g34,16S_g__[Eubacterium]_siraeum_group,Firmicutes,16S_g__Bacteroides,Bacteroidota,16S,0.868266572,0.858546732
bac_g68,bac_g341,-0.014502506,0.495894917,-0.003653361,0.86045748,g68,g341,16S_g__[Eubacterium]_siraeum_group,Firmicutes,16S_g__UBA1819,Firmicutes,16S,0.637579179,0.900478758
bac_g183,bac_g180,-0.036670018,0.05470144,0.001859562,0.933653169,g183,g180,16S_g__Burkholderia-Caballeronia-Paraburkholderia,Proteobacteria,16S_g__[Eubacterium]_brachy_group,Firmicutes,16S,0.104793163,0.965848106
bac_g68,bac_g192,0.002533665,0.906301794,0.001468867,0.944428183,g68,g192,16S_g__[Eubacterium]_siraeum_group,Firmicutes,16S_g__DTU089,Firmicutes,16S,0.926899562,0.965892459
bac_g68,bac_g155,-0.020892266,0.341635699,-0.000587292,0.979457231,g68,g155,16S_g__[Eubacterium]_siraeum_group,Firmicutes,16S_g__Chloroplast,Cyanobacteria,16S,0.467882144,0.990462368
bac_g183,bac_g122,0.081349279,8.75E-05,0.000129506,0.995422713,g183,g122,16S_g__Burkholderia-Caballeronia-Paraburkholderia,Proteobacteria,16S_g__Bilophila,Desulfobacterota,16S,0.001289981,0.995422713
