"outcome","ft_type","seed_val","fpr","sens"
"Combined_vs_NP","Baseline",505,0.307,0.454166666666667
"Combined_vs_NP","Baseline",505,0.308,0.454166666666667
"Combined_vs_NP","Baseline",505,0.309,0.454166666666667
"Combined_vs_NP","Baseline",505,0.31,0.454166666666667
"Combined_vs_NP","Baseline",505,0.311,0.454166666666667
"Combined_vs_NP","Baseline",505,0.312,0.455646666666667
"Combined_vs_NP","Baseline",505,0.313,0.458936666666667
"Combined_vs_NP","Baseline",505,0.314,0.459676666666667
"Combined_vs_NP","Baseline",505,0.315,0.460225
"Combined_vs_NP","Baseline",505,0.316,0.460773333333333
"Combined_vs_NP","Baseline",505,0.317,0.463763333333333
"Combined_vs_NP","Baseline",505,0.318,0.466036666666667
"Combined_vs_NP","Baseline",505,0.319,0.466585
"Combined_vs_NP","Baseline",505,0.32,0.467833333333333
"Combined_vs_NP","Baseline",505,0.321,0.469204166666667
"Combined_vs_NP","Baseline",505,0.322,0.470575
"Combined_vs_NP","Baseline",505,0.323,0.470833333333333
"Combined_vs_NP","Baseline",505,0.324,0.470833333333333
"Combined_vs_NP","Baseline",505,0.325,0.470833333333333
"Combined_vs_NP","Baseline",505,0.326,0.470833333333333
"Combined_vs_NP","Baseline",505,0.327,0.470833333333333
"Combined_vs_NP","Baseline",505,0.328,0.470833333333333
"Combined_vs_NP","Baseline",505,0.329,0.470833333333333
"Combined_vs_NP","Baseline",505,0.33,0.470979166666667
"Combined_vs_NP","Baseline",505,0.331,0.471664583333333
"Combined_vs_NP","Baseline",505,0.332,0.47235
"Combined_vs_NP","Baseline",505,0.333,0.473154166666667
"Combined_vs_NP","Baseline",505,0.334,0.474525
"Combined_vs_NP","Baseline",505,0.335,0.476791666666667
"Combined_vs_NP","Baseline",505,0.336,0.479441666666667
"Combined_vs_NP","Baseline",505,0.337,0.481497916666667
"Combined_vs_NP","Baseline",505,0.338,0.4827125
"Combined_vs_NP","Baseline",505,0.339,0.483677777777778
"Combined_vs_NP","Baseline",505,0.34,0.487333333333334
"Combined_vs_NP","Baseline",505,0.341,0.489413888888889
"Combined_vs_NP","Baseline",505,0.342,0.490327777777778
"Combined_vs_NP","Baseline",505,0.343,0.491241666666667
"Combined_vs_NP","Baseline",505,0.344,0.491666666666667
"Combined_vs_NP","Baseline",505,0.345,0.491680555555556
"Combined_vs_NP","Baseline",505,0.346,0.492594444444445
"Combined_vs_NP","Baseline",505,0.347,0.494866666666667
"Combined_vs_NP","Baseline",505,0.348,0.498522222222222
"Combined_vs_NP","Baseline",505,0.349,0.499502777777778
"Combined_vs_NP","Baseline",505,0.35,0.5
"Combined_vs_NP","Baseline",505,0.351,0.5
"Combined_vs_NP","Baseline",505,0.352,0.5
"Combined_vs_NP","Baseline",505,0.353,0.505308333333333
"Combined_vs_NP","Baseline",505,0.354,0.50805
"Combined_vs_NP","Baseline",505,0.355,0.508825
"Combined_vs_NP","Baseline",505,0.356,0.51354
"Combined_vs_NP","Baseline",505,0.357,0.514088333333333
"Combined_vs_NP","Baseline",505,0.358,0.514636666666667
"Combined_vs_NP","Baseline",505,0.359,0.515185
"Combined_vs_NP","Baseline",505,0.36,0.515733333333333
"Combined_vs_NP","Baseline",505,0.361,0.517028888888889
"Combined_vs_NP","Baseline",505,0.362,0.518327777777778
"Combined_vs_NP","Baseline",505,0.363,0.519241666666667
"Combined_vs_NP","Baseline",505,0.364,0.520155555555555
"Combined_vs_NP","Baseline",505,0.365,0.520833333333333
"Combined_vs_NP","Baseline",505,0.366,0.520833333333333
"Combined_vs_NP","Baseline",505,0.367,0.520833333333333
"Combined_vs_NP","Baseline",505,0.368,0.521033333333333
"Combined_vs_NP","Baseline",505,0.369,0.521947222222222
"Combined_vs_NP","Baseline",505,0.37,0.5235
"Combined_vs_NP","Baseline",505,0.371,0.525327777777778
"Combined_vs_NP","Baseline",505,0.372,0.527155555555555
"Combined_vs_NP","Baseline",505,0.373,0.528380555555556
"Combined_vs_NP","Baseline",505,0.374,0.529166666666667
"Combined_vs_NP","Baseline",505,0.375,0.529166666666667
"Combined_vs_NP","Baseline",505,0.376,0.529166666666667
"Combined_vs_NP","Baseline",505,0.377,0.533745833333333
"Combined_vs_NP","Baseline",505,0.378,0.537858333333333
"Combined_vs_NP","Baseline",505,0.379,0.540379166666667
"Combined_vs_NP","Baseline",505,0.38,0.541666666666667
"Combined_vs_NP","Baseline",505,0.381,0.541666666666667
"Combined_vs_NP","Baseline",505,0.382,0.541666666666667
"Combined_vs_NP","Baseline",505,0.383,0.5458625
"Combined_vs_NP","Baseline",505,0.384,0.547233333333333
"Combined_vs_NP","Baseline",505,0.385,0.548604166666667
"Combined_vs_NP","Baseline",505,0.386,0.549975
"Combined_vs_NP","Baseline",505,0.387,0.551345833333333
"Combined_vs_NP","Baseline",505,0.388,0.55525
"Combined_vs_NP","Baseline",505,0.389,0.562104166666666
"Combined_vs_NP","Baseline",505,0.39,0.5625
"Combined_vs_NP","Baseline",505,0.391,0.5625
"Combined_vs_NP","Baseline",505,0.392,0.5625
"Combined_vs_NP","Baseline",505,0.393,0.5637375
"Combined_vs_NP","Baseline",505,0.394,0.565458333333333
"Combined_vs_NP","Baseline",505,0.395,0.567743055555556
"Combined_vs_NP","Baseline",505,0.396,0.568844444444444
"Combined_vs_NP","Baseline",505,0.397,0.570229166666667
"Combined_vs_NP","Baseline",505,0.398,0.572513888888889
"Combined_vs_NP","Baseline",505,0.399,0.574045833333333
"Combined_vs_NP","Baseline",505,0.4,0.575
"Combined_vs_NP","Baseline",505,0.401,0.575
"Combined_vs_NP","Baseline",505,0.402,0.575
"Combined_vs_NP","Baseline",505,0.403,0.575483333333333
