"outcome","ft_type","seed_val","fpr","sens"
"PE_vs_NP","Baseline",303,0.161,0.233333333333333
"PE_vs_NP","Baseline",303,0.162,0.233333333333333
"PE_vs_NP","Baseline",303,0.163,0.233333333333333
"PE_vs_NP","Baseline",303,0.164,0.233333333333333
"PE_vs_NP","Baseline",303,0.165,0.233333333333333
"PE_vs_NP","Baseline",303,0.166,0.233333333333333
"PE_vs_NP","Baseline",303,0.167,0.233333333333333
"PE_vs_NP","Baseline",303,0.168,0.233333333333333
"PE_vs_NP","Baseline",303,0.169,0.24
"PE_vs_NP","Baseline",303,0.17,0.24
"PE_vs_NP","Baseline",303,0.171,0.24
"PE_vs_NP","Baseline",303,0.172,0.24
"PE_vs_NP","Baseline",303,0.173,0.24
"PE_vs_NP","Baseline",303,0.174,0.246666666666667
"PE_vs_NP","Baseline",303,0.175,0.246666666666667
"PE_vs_NP","Baseline",303,0.176,0.246666666666667
"PE_vs_NP","Baseline",303,0.177,0.246666666666667
"PE_vs_NP","Baseline",303,0.178,0.253333333333333
"PE_vs_NP","Baseline",303,0.179,0.253333333333333
"PE_vs_NP","Baseline",303,0.18,0.26
"PE_vs_NP","Baseline",303,0.181,0.260653333333334
"PE_vs_NP","Baseline",303,0.182,0.26504
"PE_vs_NP","Baseline",303,0.183,0.266666666666667
"PE_vs_NP","Baseline",303,0.184,0.273333333333333
"PE_vs_NP","Baseline",303,0.185,0.273333333333333
"PE_vs_NP","Baseline",303,0.186,0.273333333333333
"PE_vs_NP","Baseline",303,0.187,0.280306666666667
"PE_vs_NP","Baseline",303,0.188,0.284693333333333
"PE_vs_NP","Baseline",303,0.189,0.286666666666667
"PE_vs_NP","Baseline",303,0.19,0.286666666666667
"PE_vs_NP","Baseline",303,0.191,0.286666666666667
"PE_vs_NP","Baseline",303,0.192,0.286666666666667
"PE_vs_NP","Baseline",303,0.193,0.286666666666667
"PE_vs_NP","Baseline",303,0.194,0.286666666666667
"PE_vs_NP","Baseline",303,0.195,0.293333333333333
"PE_vs_NP","Baseline",303,0.196,0.293333333333333
"PE_vs_NP","Baseline",303,0.197,0.293333333333333
"PE_vs_NP","Baseline",303,0.198,0.3
"PE_vs_NP","Baseline",303,0.199,0.3
"PE_vs_NP","Baseline",303,0.2,0.306666666666667
"PE_vs_NP","Baseline",303,0.201,0.32172
"PE_vs_NP","Baseline",303,0.202,0.326106666666666
"PE_vs_NP","Baseline",303,0.203,0.326666666666667
"PE_vs_NP","Baseline",303,0.204,0.33488
"PE_vs_NP","Baseline",303,0.205,0.339266666666667
"PE_vs_NP","Baseline",303,0.206,0.34
"PE_vs_NP","Baseline",303,0.207,0.346666666666667
"PE_vs_NP","Baseline",303,0.208,0.346666666666667
"PE_vs_NP","Baseline",303,0.209,0.346666666666667
"PE_vs_NP","Baseline",303,0.21,0.346666666666667
"PE_vs_NP","Baseline",303,0.211,0.346666666666667
"PE_vs_NP","Baseline",303,0.212,0.346666666666667
"PE_vs_NP","Baseline",303,0.213,0.347693333333333
